web-scraper-order,address_raw,lat,lon,id,brand,geometry,closest_sup_geom,distance
1662023695-433,"Sunnenbergstrasse 15, 8633 Wolfhausen, ZH",47.25571441650391,8.804975509643555,338156406,Volg,POINT (8.804975509643555 47.25571441650391),POINT (8.8208789 47.2696707),2340.7091051754887
1662023720-634,"Blumenbergstrasse 7, 8633 Wolfhausen, ZH",47.254878997802734,8.793745994567871,623872894,Volg,POINT (8.793745994567871 47.254878997802734),POINT (8.767989 47.25162),2886.3519856483135
1662023745-834,"8608 Bubikon, ZH",47.27738571166992,8.80030632019043,338156406,Volg,POINT (8.80030632019043 47.27738571166992),POINT (8.8208789 47.2696707),2439.5975242442487
1662023701-503,"8608 Bubikon, ZH",47.27738571166992,8.80030632019043,338156406,Volg,POINT (8.80030632019043 47.27738571166992),POINT (8.8208789 47.2696707),2439.5975242442487
1662023745-820,"Lavaterstr. 63, 8002 Zürich, ZH",47.36137771606445,8.53333854675293,765567648,ALDI,POINT (8.53333854675293 47.36137771606445),POINT (8.5376871 47.3737558),1444.4714413196843
1662023739-771,"Parkring 59, 8002 Zürich, ZH",47.36689758300781,8.528817176818848,765567648,ALDI,POINT (8.528817176818848 47.36689758300781),POINT (8.5376871 47.3737558),1241.5802409441362
1662023720-640,"Flobotstrasse 2, 8044 Zürich, ZH",47.37957763671875,8.570284843444824,765567648,ALDI,POINT (8.570284843444824 47.37957763671875),POINT (8.5376871 47.3737558),3680.7986326444807
1662023686-384,"Hinterbergstrasse 57, 8044 Zürich, ZH",47.38201522827149,8.556857109069824,765567648,ALDI,POINT (8.556857109069824 47.38201522827149),POINT (8.5376871 47.3737558),2317.021860134149
1662023789-1164,"Nansenstrasse 7, 8050 Zürich, ZH",47.410762786865234,8.545214653015137,482763774,ALDI,POINT (8.545214653015137 47.410762786865234),POINT (8.5390336 47.4137334),760.9768586276037
1662023764-980,"Wehntalerstrasse 223, 8057 Zürich, ZH",47.40802001953125,8.529781341552734,482763774,ALDI,POINT (8.529781341552734 47.40802001953125),POINT (8.5390336 47.4137334),1205.468371296077
1662023767-1007,"Baumackerstrasse 47, 8050 Zürich, ZH",47.40944290161133,8.542278289794922,482763774,ALDI,POINT (8.542278289794922 47.40944290161133),POINT (8.5390336 47.4137334),593.9347824128259
1662023704-520,"Zwischenbächen 139, 8048 Zürich, ZH",47.380489349365234,8.4798002243042,4868938542,ALDI,POINT (8.4798002243042 47.380489349365234),POINT (8.4978671 47.3838311),2042.2847150906327
1662023698-468,"Hallwylstrasse 84, 8004 Zürich, ZH",47.369815826416016,8.526166915893555,765567648,ALDI,POINT (8.526166915893555 47.369815826416016),POINT (8.5376871 47.3737558),1352.2708981552482
1662023789-1172,"Pfingstweidstrasse 104 E, 8005 Zürich, ZH",47.39086151123047,8.509053230285645,267344304,ALDI,POINT (8.509053230285645 47.39086151123047),POINT (8.4965956 47.3883215),1413.1084352040768
1662023752-867,"Altwiesenstrasse 346, 8051 Zürich, ZH",47.39995956420898,8.590506553649902,2857736035,ALDI,POINT (8.590506553649902 47.39995956420898),POINT (8.5918795 47.405948),675.8793585576713
1662023761-945,"Badenerstrasse 250, 8004 Zürich, ZH",47.3759880065918,8.516037940979004,4423175779,ALDI,POINT (8.516037940979004 47.3759880065918),POINT (8.5332829 47.3808159),1989.6901900412736
1662023774-1056,"Schöntalstrasse 27, 8004 Zürich, ZH",47.37080764770508,8.526028633117676,765567648,ALDI,POINT (8.526028633117676 47.37080764770508),POINT (8.5376871 47.3737558),1336.2842877576174
